ID,Name,Age,Salary,Join_Date,Department
1,John Doe,25.0,50000.0,2022-01-10,Finance
2,Jane Smith,30.0,60000.0,2021-02-10,Hr
3,Mike Johnson,34.10526315789474,70000.0,2020-03-05,It
4,Emily Davis,40.0,80000.0,2019-12-15,Marketing
5,Robert Brown,35.0,90000.0,2018-05-01,Sales
6,Alice White,28.0,55000.0,2021-07-20,Finance
7,David Miller,33.0,62000.0,2018-06-10,Hr
8,Sarah Wilson,34.10526315789474,72000.0,2019-09-08,It
9,James Anderson,45.0,81000.0,2017-11-25,Marketing
10,Linda Thomas,50.0,95000.0,2020-03-30,Sales
11,William Moore,27.0,57000.0,2021-08-15,Finance
12,Emma Taylor,32.0,64000.0,2016-12-06,Hr
13,Daniel Lee,38.0,73000.0,2015-04-01,It
14,Olivia Harris,29.0,85000.0,2014-09-09,Marketing
15,Matthew Clark,31.0,92000.0,2013-05-05,Sales
16,Sophia Lewis,41.0,58000.0,2020-10-12,Finance
17,Ethan Walker,36.0,66000.0,2019-02-14,Hr
18,Isabella Hall,39.0,75000.0,2018-07-07,It
19,Mason Allen,34.0,87000.0,2022-06-21,Marketing
20,Ava Young,34.10526315789474,94000.0,2015-11-11,Sales
5,John Doe,25.0,50000.0,2022-01-10,Finance
10,Jane Smith,30.0,60000.0,2021-02-10,Hr
